Date,Drift_Score
2020-04-29,0.8562042704873992
2020-06-10,0.055969496756559045
2020-07-29,0.07475121752246472
2020-09-16,0.2811368401146457
2020-11-05,0.1287046933018987
2020-12-16,0.08519578968193642
2021-01-27,0.09686917772087755
2021-03-17,0.0581080768334602
2021-04-28,0.07026116517445158
2021-06-16,0.06008986855555676
2021-07-28,0.07817325556328514
2021-09-22,0.07227942558233258
2021-11-03,0.1716938443500834
2021-12-15,0.11984858951760358
2022-01-26,0.18334835059450372
2022-03-16,0.43712663860024203
2022-05-04,0.17931602756957477
2022-06-15,0.10947760968462228
2022-07-27,0.25576422503329166
2022-09-21,0.04887216648198567
2022-11-02,0.11263572434670399
2022-12-14,0.04406908771510898
2023-02-01,0.18772593493618606
2023-03-22,0.18872628003697167
2023-05-03,0.08489042439113992
